Date,Open,High,Low,Close,AdjClose,Volume,SMA_20,Upper_Band,Lower_Band,MACD,MACD_Signal,RSI,Risk_Level
2020-07-31,488.2900085,494.7999878,484.5,488.8800049,488.8800049,5916300,501.1970016,539.3602653,463.033738,4.913009772,9.366147299,51.52515416,Medium
2020-08-03,490.8599854,503.0899963,490.230011,498.6199951,498.6199951,5873100,501.4375015,539.46514,463.409863,5.167646395,8.526447118,55.25570356,Medium
2020-08-04,498.6499939,510.4400024,498.6499939,509.6400146,509.6400146,5608000,502.2615021,540.2481087,464.2748955,6.187347343,8.058627163,59.09168484,Medium
2020-08-05,508.6799927,510.1000061,501.2000122,502.1099854,502.1099854,4308200,502.2280014,540.2138645,464.2421383,6.315061163,7.709913963,55.58501022,Medium
2020-08-06,504.1099854,510.8200073,498.7000122,509.0799866,509.0799866,3725900,502.2940002,540.3248934,464.263107,6.899166833,7.547764537,58.0656294,Medium
2020-08-07,505.4500122,508.2900085,486.6799927,494.730011,494.730011,5910300,499.5940018,530.7988287,468.3891748,6.1334491,7.26490145,51.66752686,Medium
2020-08-10,493.3500061,497.4599915,478.6300049,483.3800049,483.3800049,4691200,497.488002,526.9689113,468.0070927,4.55821735,6.72356463,47.23430744,Medium
2020-08-11,479.75,480.9200134,466.5499878,466.9299927,466.9299927,7329200,494.5905014,524.126916,465.0540868,1.959864238,5.770824551,41.65564335,Medium
2020-08-12,471.3399963,482.4899902,470.1799927,475.4700012,475.4700012,5439200,492.201001,519.6288299,464.773172,0.583037106,4.733267062,45.26956181,Medium
2020-08-13,478.3999939,484.4500122,476.4500122,481.3299866,481.3299866,3008900,489.8979996,512.1273946,467.6686045,-0.034854689,3.779642712,47.66505096,Medium
2020-08-14,482.8200073,488.3299866,480.2099915,482.6799927,482.6799927,2943500,489.3824997,511.7874706,466.9775287,-0.410867948,2.94154058,48.22725039,Medium
2020-08-17,484.1900024,486.2399902,479.1000061,482.3500061,482.3500061,2423500,488.3794998,510.1149323,466.6440673,-0.72710669,2.207811126,48.09125945,Medium
2020-08-18,484.3500061,495.2999878,482.7999878,491.8699951,491.8699951,3505500,488.4679993,510.2472972,466.6887013,-0.207156647,1.724817571,52.27255184,Medium
2020-08-19,493.9299927,494.5,483.5,484.5299988,484.5299988,3156200,488.2034988,510.042071,466.3649267,-0.382954394,1.303263178,48.99559189,Medium
2020-08-20,484.6900024,498.9400024,483.8900146,497.8999939,497.8999939,5132500,489.2194992,510.8669287,467.5720697,0.550228798,1.152656302,54.58100203,Medium
2020-08-21,496.4599915,498.1300049,490,492.3099976,492.3099976,3921300,489.8124985,511.0951454,468.5298515,0.829159184,1.087956879,52.01621639,Medium
2020-08-24,495.4400024,501,483.1600037,488.8099976,488.8099976,4762200,489.4704987,510.5772794,468.3637179,0.759042999,1.022174103,50.41871035,Medium
2020-08-25,488.1900024,492.4700012,485.0899963,490.5799866,490.5799866,5727700,489.5739975,510.6812479,468.4667471,0.836654309,0.985070144,51.23436228,Medium
2020-08-26,492.5,549.039978,492.0799866,547.5300293,547.5300293,20373700,492.7264984,525.9732277,459.4797692,5.43094972,1.874246059,68.93961288,High
2020-08-27,537.7800293,541,521.25,526.2700195,526.2700195,9062900,494.75,531.0112998,458.4887002,7.272622556,2.953921358,60.15868177,High
2020-08-28,532,539,522,523.8900146,523.8900146,4417500,496.5005005,534.8865929,458.1144081,8.442791796,4.051695446,59.2488714,Medium
